Agent DT2 issued deposit	 of $506.00	at:09/15/2024 22:21:57 EDT	Transaction Number : 1
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 50
Agent DT5 issued deposit	 of $531.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 52
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 54
Agent DT2 issued deposit	 of $475.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 64
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 65
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 70
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 71
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 74
Agent WT2 issued withdrawal	 of $94.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 82
Agent DT3 issued deposit	 of $524.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 90
Agent DT1 issued deposit	 of $507.00	at:09/15/2024 22:21:58 EDT	Transaction Number : 107
Agent DT4 issued deposit	 of $481.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 126
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 130
Agent DT1 issued deposit	 of $495.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 146
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 148
Agent DT2 issued deposit	 of $517.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 161
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 166
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 181
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 184
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 22:21:59 EDT	Transaction Number : 185
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 22:22:00 EDT	Transaction Number : 193
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 22:22:00 EDT	Transaction Number : 202
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 22:22:00 EDT	Transaction Number : 214
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 22:22:00 EDT	Transaction Number : 216
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 22:22:00 EDT	Transaction Number : 223
Agent DT2 issued deposit	 of $464.00	at:09/15/2024 22:24:33 EDT	Transaction Number : 1
Agent DT1 issued deposit	 of $451.00	at:09/15/2024 22:24:33 EDT	Transaction Number : 2
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 22:24:33 EDT	Transaction Number : 9
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 22:24:33 EDT	Transaction Number : 8
Agent WT3 issued withdrawal	 of $98.00	at:09/15/2024 22:24:33 EDT	Transaction Number : 24
Agent DT3 issued deposit	 of $477.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 44
Agent DT1 issued deposit	 of $485.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 57
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 74
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 78
Agent DT4 issued deposit	 of $549.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 84
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 85
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 88
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 22:24:34 EDT	Transaction Number : 96
Agent DT1 issued deposit	 of $557.00	at:09/15/2024 23:37:01 EDT	Transaction Number : 1
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:37:01 EDT	Transaction Number : 5
Agent DT4 issued deposit	 of $545.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 8
Agent DT3 issued deposit	 of $588.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 20
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 25
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 33
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 40
Agent WT2 issued withdrawal	 of $94.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 44
Agent DT4 issued deposit	 of $586.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 45
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 64
Agent DT5 issued deposit	 of $483.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 85
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 86
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:37:02 EDT	Transaction Number : 104
Agent DT3 issued deposit	 of $599.00	at:09/15/2024 23:37:03 EDT	Transaction Number : 122
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:37:03 EDT	Transaction Number : 140
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:37:03 EDT	Transaction Number : 147
Agent DT2 issued deposit	 of $490.00	at:09/15/2024 23:37:03 EDT	Transaction Number : 148
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:03 EDT	Transaction Number : 149
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:37:03 EDT	Transaction Number : 160
Agent DT1 issued deposit	 of $578.00	at:09/15/2024 23:37:04 EDT	Transaction Number : 165
Agent DT4 issued deposit	 of $502.00	at:09/15/2024 23:37:04 EDT	Transaction Number : 166
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:37:04 EDT	Transaction Number : 180
Agent DT2 issued deposit	 of $558.00	at:09/15/2024 23:37:04 EDT	Transaction Number : 181
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:37:05 EDT	Transaction Number : 200
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:37:05 EDT	Transaction Number : 208
Agent DT2 issued deposit	 of $596.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 214
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 216
Agent DT3 issued deposit	 of $465.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 225
Agent DT5 issued deposit	 of $466.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 226
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 233
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 238
Agent DT4 issued deposit	 of $600.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 242
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 244
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 245
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 251
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 255
